scorer,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000
bodyparts,north,north,north,east,east,east,south,south,south,west,west,west
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
112,113.40003967285156,53.780155181884766,1.0,171.02137756347656,64.65967559814453,1.0,163.0998992919922,114.9221420288086,1.0,111.65486907958984,105.7215347290039,1.0
113,112.16670227050781,53.50082778930664,1.0,170.61868286132812,64.18505096435547,1.0,162.58575439453125,114.8563003540039,1.0,111.06804656982422,105.71500396728516,1.0
114,111.48986053466797,53.11622619628906,1.0,169.71261596679688,63.573699951171875,1.0,162.68362426757812,114.45394897460938,1.0,110.98914337158203,105.87492370605469,1.0
115,113.50818634033203,53.1723747253418,1.0,171.0662384033203,64.95993041992188,1.0,163.18650817871094,115.06917572021484,1.0,111.02694702148438,105.06194305419922,1.0
116,111.5859603881836,53.37056350708008,1.0,170.9373779296875,64.14510345458984,1.0,163.26426696777344,114.87097930908203,1.0,111.0107421875,106.17269897460938,1.0
117,111.5859603881836,53.37056350708008,1.0,170.9373779296875,64.14510345458984,1.0,163.26426696777344,114.87097930908203,1.0,111.0107421875,106.17269897460938,1.0
118,112.39303588867188,53.27308654785156,1.0,171.36802673339844,64.43253326416016,1.0,163.6346893310547,115.48487854003906,1.0,111.20377349853516,106.21569061279297,1.0
119,113.18171691894531,55.64070129394531,1.0,172.96299743652344,62.74655532836914,1.0,168.50250244140625,115.97171783447266,1.0,114.07220458984375,107.90096282958984,1.0
120,113.24474334716797,53.408260345458984,1.0,172.9618377685547,63.67925262451172,1.0,166.99652099609375,115.39990997314453,1.0,113.5235366821289,106.80462646484375,1.0
121,113.5524673461914,52.5633659362793,1.0,172.83750915527344,64.09188842773438,1.0,166.11668395996094,115.40495300292969,1.0,112.79341125488281,105.80279541015625,1.0
122,113.5524673461914,52.5633659362793,1.0,172.83750915527344,64.09188842773438,1.0,166.11668395996094,115.40495300292969,1.0,112.79341125488281,105.80279541015625,1.0
123,113.90463256835938,52.68475341796875,1.0,173.04161071777344,63.45680618286133,1.0,167.04249572753906,116.05694580078125,1.0,113.43233489990234,106.39370727539062,1.0
124,113.70752716064453,52.32186508178711,1.0,172.8245391845703,63.613677978515625,1.0,166.57582092285156,115.76331329345703,1.0,112.96646881103516,106.32952880859375,1.0
125,111.92642211914062,52.407466888427734,1.0,172.5750732421875,63.42405700683594,1.0,166.21429443359375,115.55838775634766,1.0,112.4180679321289,106.74571228027344,1.0
126,111.50895690917969,52.1862907409668,1.0,172.4192352294922,63.439414978027344,1.0,166.01605224609375,115.57674407958984,1.0,112.18302154541016,106.6567153930664,1.0
127,111.35009765625,52.13166046142578,1.0,172.53074645996094,63.69559097290039,1.0,165.79383850097656,115.96092224121094,1.0,112.20047760009766,106.66091918945312,1.0
128,111.81352233886719,52.171993255615234,1.0,172.79368591308594,63.6759033203125,1.0,166.16647338867188,116.19229888916016,1.0,113.17794036865234,107.26850891113281,1.0
129,113.08787536621094,51.94541549682617,1.0,173.09326171875,63.70663070678711,1.0,166.213623046875,116.28924560546875,1.0,112.3172607421875,106.84833526611328,1.0
130,111.2725601196289,51.51458740234375,1.0,172.72625732421875,63.00588607788086,1.0,166.21871948242188,115.9605712890625,1.0,112.65805053710938,107.05323791503906,1.0
131,110.33036041259766,51.695556640625,1.0,172.4507598876953,62.88164138793945,1.0,166.1183624267578,115.99993896484375,1.0,112.04295349121094,107.9029769897461,1.0
132,109.04998016357422,51.96945571899414,1.0,172.38795471191406,62.19619369506836,1.0,167.2082977294922,116.5300521850586,1.0,111.6781234741211,108.65363311767578,1.0
133,105.9815673828125,54.648075103759766,1.0,166.8850860595703,64.03579711914062,1.0,161.18661499023438,119.63230895996094,1.0,107.03392028808594,112.09201049804688,1.0
134,105.9815673828125,54.648075103759766,1.0,166.8850860595703,64.03579711914062,1.0,161.18661499023438,119.63230895996094,1.0,107.03392028808594,112.09201049804688,1.0
135,103.61505126953125,54.09830093383789,1.0,165.2176055908203,62.4326171875,1.0,160.20175170898438,118.59402465820312,1.0,106.39759826660156,112.23209381103516,1.0
136,104.13909149169922,51.25411605834961,1.0,165.4494171142578,60.13199996948242,1.0,159.15631103515625,117.44084167480469,1.0,105.77985382080078,109.93156433105469,1.0
137,103.72298431396484,50.898929595947266,1.0,165.50180053710938,60.02561569213867,1.0,158.88412475585938,117.39512634277344,1.0,105.45027160644531,109.71819305419922,1.0
138,105.03284454345703,51.317630767822266,1.0,165.72613525390625,60.336692810058594,1.0,159.12608337402344,117.98523712158203,1.0,105.12834167480469,109.29910278320312,1.0
139,103.28450775146484,51.62172317504883,1.0,165.17356872558594,59.69559097290039,1.0,159.42222595214844,117.69265747070312,1.0,106.99598693847656,111.74932861328125,1.0
140,104.70341491699219,51.69468688964844,1.0,165.9191131591797,60.47563934326172,1.0,159.59097290039062,118.01054382324219,1.0,105.64057922363281,110.23460388183594,1.0
141,104.97162628173828,51.40888214111328,1.0,165.6575927734375,60.641944885253906,1.0,159.16885375976562,118.1975326538086,1.0,104.94157409667969,109.68789672851562,1.0
142,104.09021759033203,51.888973236083984,1.0,165.23838806152344,60.558048248291016,1.0,158.6925048828125,118.54174041748047,1.0,105.74252319335938,110.91619110107422,1.0
143,104.94816589355469,51.8805046081543,1.0,164.8435821533203,61.0206413269043,1.0,158.25045776367188,118.76763153076172,1.0,104.67798614501953,109.99073028564453,1.0
144,106.49960327148438,51.762813568115234,1.0,165.0172882080078,62.224063873291016,1.0,157.9484405517578,119.85958099365234,1.0,103.96151733398438,109.37757110595703,0.9999998807907104
145,105.39543151855469,52.3727912902832,1.0,164.87840270996094,61.6630744934082,1.0,158.54344177246094,119.12559509277344,1.0,102.6268081665039,108.41159057617188,0.9999995231628418
